Group,Region,N,Mean,SD
IBD,rhCortexVol,19,0.15160806,0.00694466
IBS,rhCortexVol,20,0.15466797,0.00859011
HC,CortexVol,19,0.30829005,0.01298042
FD,CortexVol,18,0.30959059,0.01322023
IBD,CortexVol,19,0.3027261,0.01317571
IBS,CortexVol,20,0.30779661,0.01715196
HC,lhCerebralWhiteMatterVol,19,0.15101207,0.00748178
FD,lhCerebralWhiteMatterVol,18,0.14841438,0.00737094
IBD,lhCerebralWhiteMatterVol,19,0.15180324,0.01029456
IBS,lhCerebralWhiteMatterVol,20,0.15057884,0.00741822
HC,rhCerebralWhiteMatterVol,19,0.15103376,0.00756895
FD,rhCerebralWhiteMatterVol,18,0.14792718,0.00737991
IBD,rhCerebralWhiteMatterVol,19,0.15180815,0.00975446
IBS,rhCerebralWhiteMatterVol,20,0.1507472,0.00726964
HC,CerebralWhiteMatterVol,19,0.30204584,0.01499997
FD,CerebralWhiteMatterVol,18,0.29634156,0.01466276
IBD,CerebralWhiteMatterVol,19,0.30361139,0.01997835
IBS,CerebralWhiteMatterVol,20,0.30132604,0.01461348
HC,SubCortGrayVol,19,0.03930129,0.00194103
FD,SubCortGrayVol,18,0.03901778,0.00269496
IBD,SubCortGrayVol,19,0.0377986,0.00189788
IBS,SubCortGrayVol,20,0.03854957,0.00161715
HC,TotalGrayVol,19,0.42104919,0.01375838
FD,TotalGrayVol,18,0.42188914,0.01709971
IBD,TotalGrayVol,19,0.41168378,0.01313344
IBS,TotalGrayVol,20,0.41883605,0.0186759
